species;biomass;NumberAdults;TrapID;Exploratory;plot;PlotIDYear;month;year;Order;Suborder;Family;Genus;epitheton;subspecies;length;feeding_guild;LUI;replicate;Rep_ID
Diplocolenus bohemani;12.89434663;3;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Diplocolenus;bohemani;;4.4;h;0.95;A;AEG10-KEFJun2008A
Leptopterna dolabrata;188.3529008;10;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;0.95;A;AEG10-KEFJun2008A
Turrutus socialis;6.727878878;3;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;0.95;A;AEG10-KEFJun2008A
Doratura exilis;2.086189231;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Doratura;exilis;;3.25;h;0.95;A;AEG10-KEFJun2008A
Verdanus abdominalis;33.64381748;9;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Verdanus;abdominalis;;4.15;h;0.95;A;AEG10-KEFJun2008A
Leptopterna ferrugata;32.50652071;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;ferrugata;;7.8;h;0.95;A;AEG10-KEFJun2008A
Megaloceroea recticornis;45.65070308;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Megaloceroea;recticornis;;9;h;0.95;A;AEG10-KEFJun2008A
Aphthona venustula;0.737684157;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Aphthona;venustula;;2.1;h;0.95;A;AEG10-KEFJun2008A
Altica helianthemi;3.696170856;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Altica;helianthemi;;4;h;0.95;A;AEG10-KEFJun2008A
Psammotettix helvolus;8.041699483;4;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;0.95;A;AEG10-KEFJun2008A
Psammotettix cephalotes;12.06254923;6;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;0.95;A;AEG10-KEFJun2008A
Kosswigianella exigua;1.115539263;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Kosswigianella;exigua;;2.5;h;0.95;A;AEG10-KEFJun2008A
Protapion apricans;1.084686855;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Protapion;apricans;;2.45;h;0.95;A;AEG10-KEFJun2008A
Phylloneta impressa;16.45437476;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;0.95;A;AEG10-KEFJun2008A
Notostira elongata;27.77762705;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;0.95;A;AEG10-KEFJun2008A
Agrypnus murina;92.59368613;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Elateridae;Agrypnus;murina;;14.5;c;0.95;A;AEG10-KEFJun2008A
Meligethes aeneus;1.475368313;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;0.95;A;AEG10-KEFJun2008A
Mangora acalypha;19.19248877;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;0.95;A;AEG10-KEFJun2008A
Aphthona atrovirens;0.345159298;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Aphthona;atrovirens;;1.55;h;0.95;A;AEG10-KEFJun2008A
Leptopterna dolabrata;282.5293513;15;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;0.95;B;AEG10-KEFJun2008B
Verdanus abdominalis;3.738201942;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Verdanus;abdominalis;;4.15;h;0.95;B;AEG10-KEFJun2008B
Hardya tenuis;22.42626293;10;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;0.95;B;AEG10-KEFJun2008B
Plagiognathus chrysanthemi;31.13773946;12;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;0.95;B;AEG10-KEFJun2008B
Macrosteles laevis;66.56988023;25;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;0.95;B;AEG10-KEFJun2008B
Turrutus socialis;17.94101034;8;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;0.95;B;AEG10-KEFJun2008B
Psammotettix helvolus;18.09382384;9;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;0.95;B;AEG10-KEFJun2008B
Phylloneta impressa;16.45437476;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;0.95;B;AEG10-KEFJun2008B
Horistus orientalis;122.0902415;14;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Horistus;orientalis;;6;h;0.95;B;AEG10-KEFJun2008B
Omocestus viridulus;160.5841839;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Orthoptera;Caelifera;Acrididae;Omocestus;viridulus;;18;h;0.95;B;AEG10-KEFJun2008B
Leptopterna ferrugata;32.50652071;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;ferrugata;;7.8;h;0.95;B;AEG10-KEFJun2008B
Tiso vagans;1.184573758;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Araneae;Labidognatha;Linyphiidae;Tiso;vagans;;2.03;c;0.95;B;AEG10-KEFJun2008B
Psammotettix cephalotes;8.041699484;4;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;0.95;B;AEG10-KEFJun2008B
Megaloceroea recticornis;45.65070308;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Megaloceroea;recticornis;;9;h;0.95;B;AEG10-KEFJun2008B
Delphacinus mesomelas;1.723500103;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Delphacinus;mesomelas;;3;h;0.95;B;AEG10-KEFJun2008B
Longitarsus succineus;0.612881572;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;succineus;;1.95;h;0.95;B;AEG10-KEFJun2008B
Diplocolenus bohemani;8.596231084;2;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Diplocolenus;bohemani;;4.4;h;0.95;B;AEG10-KEFJun2008B
Cryptocephalus vittatus;3.145228488;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Cryptocephalus;vittatus;;3.75;h;0.95;B;AEG10-KEFJun2008B
Altica helianthemi;3.696170856;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Altica;helianthemi;;4;h;0.95;B;AEG10-KEFJun2008B
Notostira erratica;15.28166428;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;0.95;B;AEG10-KEFJun2008B
Polymerus unifasciatus;8.379764693;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;0.95;B;AEG10-KEFJun2008B
Ditropsis flavipes;0.962427268;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Ditropsis;flavipes;;2.35;h;0.95;B;AEG10-KEFJun2008B
Macrosteles laevis;226.3375928;85;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.93;A;AEG11-KEFAug2008A
Macrosteles cristatus;272.9741695;93;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;1.93;A;AEG11-KEFAug2008A
Arthaldeus pascuellus;12.44848093;5;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.93;A;AEG11-KEFAug2008A
Stenodema laevigata;19.37825854;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Stenodema;laevigata;;8.4;h;1.93;A;AEG11-KEFAug2008A
Javesella pellucida;5.150801888;2;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.93;A;AEG11-KEFAug2008A
Notostira elongata;55.55525411;4;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;1.93;A;AEG11-KEFAug2008A
Deltocephalus pulicaris;5.601544607;4;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.93;A;AEG11-KEFAug2008A
Neophilaenus lineatus;7.971084364;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Neophilaenus;lineatus;;5.7;h;1.93;A;AEG11-KEFAug2008A
Longitarsus pratensis;0.747367266;2;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;1.93;A;AEG11-KEFAug2008A
Cicadula persimilis;9.558069455;2;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Cicadula;persimilis;;4.6;h;1.93;A;AEG11-KEFAug2008A
Notostira erratica;15.28166428;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;1.93;A;AEG11-KEFAug2008A
Macrosteles cristatus;231.8812838;79;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;1.93;B;AEG11-KEFAug2008B
Megasternum obscurum;0.612881572;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Coleoptera;Polyphaga;Hydrophilidae;Megasternum;obscurum;;1.95;o;1.93;B;AEG11-KEFAug2008B
Macrosteles laevis;226.3375928;85;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.93;B;AEG11-KEFAug2008B
Arthaldeus pascuellus;17.4278733;7;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.93;B;AEG11-KEFAug2008B
Javesella pellucida;7.726202832;3;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.93;B;AEG11-KEFAug2008B
Notostira erratica;15.28166428;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;1.93;B;AEG11-KEFAug2008B
Laodelphax striatellus;2.163586488;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;1.93;B;AEG11-KEFAug2008B
Deltocephalus pulicaris;4.201158456;3;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.93;B;AEG11-KEFAug2008B
Notostira elongata;13.88881353;1;AEG11-KEFAug2008;ALB;AEG11;AEG11_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;1.93;B;AEG11-KEFAug2008B
Arthaldeus pascuellus;2.489696185;1;AEG11-KEFJun2008;ALB;AEG11;AEG11_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.93;A;AEG11-KEFJun2008A
Macrosteles laevis;2.662795208;1;AEG11-KEFJun2008;ALB;AEG11;AEG11_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.93;A;AEG11-KEFJun2008A
Macrosteles laevis;7.988385623;3;AEG11-KEFJun2008;ALB;AEG11;AEG11_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.93;B;AEG11-KEFJun2008B
Arthaldeus pascuellus;4.97939237;2;AEG11-KEFJun2008;ALB;AEG11;AEG11_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.93;B;AEG11-KEFJun2008B
Deltocephalus pulicaris;1.400386152;1;AEG11-KEFJun2008;ALB;AEG11;AEG11_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.93;B;AEG11-KEFJun2008B
Macrosteles laevis;348.8261723;131;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.83;A;AEG12-KEFAug2008A
Araneus diadematus;131.063172;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Araneae;Labidognatha;Araneidae;Araneus;diadematus;;11.88;c;1.83;A;AEG12-KEFAug2008A
Trigonotylus caelestialium;134.0762351;16;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.83;A;AEG12-KEFAug2008A
Polymerus unifasciatus;511.1656463;61;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.83;A;AEG12-KEFAug2008A
Aphrodes diminuta;8.308816977;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Aphrodes;diminuta;;5.8;h;1.83;A;AEG12-KEFAug2008A
Errastunus ocellaris;38.12464698;17;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.83;A;AEG12-KEFAug2008A
Sitona lepidus;7.296564364;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;lepidus;;5.25;h;1.83;A;AEG12-KEFAug2008A
Sitona sulcifrons;44.99488025;17;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;1.83;A;AEG12-KEFAug2008A
Longitarsus luridus;1.074549654;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;1.83;A;AEG12-KEFAug2008A
Neocrepidodera ferruginea;8.795899876;4;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Neocrepidodera;ferruginea;;3.25;h;1.83;A;AEG12-KEFAug2008A
Protapion apricans;8.677494836;8;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Apionidae;Protapion;apricans;;2.45;h;1.83;A;AEG12-KEFAug2008A
Deltocephalus pulicaris;1.400386152;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.83;A;AEG12-KEFAug2008A
Javesella pellucida;25.75400943;10;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.83;A;AEG12-KEFAug2008A
Euscelis incisus;5.685377535;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;1.83;A;AEG12-KEFAug2008A
Arthaldeus pascuellus;7.469088553;3;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.83;A;AEG12-KEFAug2008A
Megadelphax sordidulus;7.476403887;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Megadelphax;sordidulus;;4.15;h;1.83;A;AEG12-KEFAug2008A
Meligethes aeneus;1.475368313;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.83;A;AEG12-KEFAug2008A
Chorthippus parallelus;321.1683679;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.83;A;AEG12-KEFAug2008A
Nabis pseudoferus;44.42645219;3;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Nabidae;Nabis;pseudoferus;;7.5;c;1.83;A;AEG12-KEFAug2008A
Dolycoris baccarum;73.49449965;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Pentatomidae;Dolycoris;baccarum;;11;h;1.83;A;AEG12-KEFAug2008A
Adelphocoris seticornis;74.044087;5;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;1.83;A;AEG12-KEFAug2008A
Psammotettix helvolus;2.010424871;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.83;A;AEG12-KEFAug2008A
Erigone dentipalpis;1.700491952;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Erigone;dentipalpis;;2.33;c;1.83;A;AEG12-KEFAug2008A
Psammotettix confinis;2.662795209;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;confinis;;3.6;h;1.83;A;AEG12-KEFAug2008A
Chorthippus biguttulus;481.752552;3;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;biguttulus;;18;h;1.83;A;AEG12-KEFAug2008A
Ischnopterapion virens;0.828703408;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Apionidae;Ischnopterapion;virens;;2.2;h;1.83;A;AEG12-KEFAug2008A
Eurygaster testudinaria;24.04742142;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Scutelleridae;Eurygaster;testudinaria;;9.2;h;1.83;A;AEG12-KEFAug2008A
Pachygnatha degeeri;5.067163932;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Araneae;Labidognatha;Tetragnathidae;Pachygnatha;degeeri;;3.55;c;1.83;A;AEG12-KEFAug2008A
Sitona hispidulus;3.696170856;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;hispidulus;;4;h;1.83;A;AEG12-KEFAug2008A
Philodromus collinus;11.27392441;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Araneae;Labidognatha;Philodromidae;Philodromus;collinus;;4.88;c;1.83;B;AEG12-KEFAug2008B
Polymerus unifasciatus;418.9882346;50;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.83;B;AEG12-KEFAug2008B
Philaenus spumarius;37.48495361;4;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.83;B;AEG12-KEFAug2008B
Macrosteles laevis;276.9307017;104;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.83;B;AEG12-KEFAug2008B
Trigonotylus caelestialium;58.65835284;7;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.83;B;AEG12-KEFAug2008B
Eurygaster maura;27.26524003;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Scutelleridae;Eurygaster;maura;;9.7;h;1.83;B;AEG12-KEFAug2008B
Adelphocoris seticornis;59.2352696;4;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;1.83;B;AEG12-KEFAug2008B
Errastunus ocellaris;33.63939439;15;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.83;B;AEG12-KEFAug2008B
Protapion apricans;3.254060564;3;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Apionidae;Protapion;apricans;;2.45;h;1.83;B;AEG12-KEFAug2008B
Javesella pellucida;25.75400943;10;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.83;B;AEG12-KEFAug2008B
Neocrepidodera ferruginea;10.99487484;5;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Neocrepidodera;ferruginea;;3.25;h;1.83;B;AEG12-KEFAug2008B
Longitarsus luridus;1.074549654;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;1.83;B;AEG12-KEFAug2008B
Arthaldeus pascuellus;9.958784737;4;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.83;B;AEG12-KEFAug2008B
Euscelis incisus;5.685377535;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;1.83;B;AEG12-KEFAug2008B
Chorthippus parallelus;160.5841839;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.83;B;AEG12-KEFAug2008B
Erigone dentipalpis;1.700491952;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Erigone;dentipalpis;;2.33;c;1.83;B;AEG12-KEFAug2008B
Coccinella septempunctata;12.93240756;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Coccinellidae;Coccinella;septempunctata;;6.6;c;1.83;B;AEG12-KEFAug2008B
Anoscopus serratulae;3.125426575;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Anoscopus;serratulae;;3.85;h;1.83;B;AEG12-KEFAug2008B
Sitona sulcifrons;21.17406129;8;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;1.83;B;AEG12-KEFAug2008B
Nabis pseudoferus;14.8088174;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Nabidae;Nabis;pseudoferus;;7.5;c;1.83;B;AEG12-KEFAug2008B
Chorthippus biguttulus;642.336736;4;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;biguttulus;;18;h;1.83;B;AEG12-KEFAug2008B
Catapion pubescens;1.225763143;2;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Apionidae;Catapion;pubescens;;1.95;h;1.83;B;AEG12-KEFAug2008B
Stenodema laevigata;19.37825854;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Stenodema;laevigata;;8.4;h;1.83;B;AEG12-KEFAug2008B
Longitarsus succineus;0.612881572;1;AEG12-KEFAug2008;ALB;AEG12;AEG12_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;succineus;;1.95;h;1.83;B;AEG12-KEFAug2008B
